image_name,polygon,wavelength_nm,slaughter,session,day,Marbling,Meat Color,Texture,Surface Moisture,Total,image_path,used_mode,등급
140111102817_s12_540nm_day7,2279 852; 2854 852; 2854 1805; 2279 1805,540,140111102817,s12,7,8,,6,,6,.\result\140111102817_day7\140111102817_day7\s12\140111102817_s12_540nm_day7.png,mask,X
140111102817_s13_430nm_day7,2102 829; 2605 829; 2605 1811; 2102 1811,430,140111102817,s13,7,6,,6,,6,.\result\140111102817_day7\140111102817_day7\s13\140111102817_s13_430nm_day7.png,mask,X
140111102817_s13_540nm_day7,2008 888; 2518 888; 2518 1750; 2008 1750,540,140111102817,s13,7,6,,6,,6,.\result\140111102817_day7\140111102817_day7\s13\140111102817_s13_540nm_day7.png,mask,X
140111102817_s14_430nm_day7,1966 774; 2670 774; 2670 1491; 1966 1491,430,140111102817,s14,7,7,,4,,5,.\result\140111102817_day7\140111102817_day7\s14\140111102817_s14_430nm_day7.png,mask,X
140111102817_s14_540nm_day7,1911 739; 2628 739; 2628 1498; 1911 1498,540,140111102817,s14,7,7,,4,,5,.\result\140111102817_day7\140111102817_day7\s14\140111102817_s14_540nm_day7.png,mask,X
140111102817_s15_430nm_day7,2037 884; 2531 884; 2531 1679; 2037 1679,430,140111102817,s15,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s15\140111102817_s15_430nm_day7.png,mask,X
140111102817_s15_540nm_day7,2027 849; 2560 849; 2560 1656; 2027 1656,540,140111102817,s15,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s15\140111102817_s15_540nm_day7.png,mask,X
140111102817_s16_430nm_day7,1882 881; 2357 881; 2357 1808; 1882 1808,430,140111102817,s16,7,5,,5,,5,.\result\140111102817_day7\140111102817_day7\s16\140111102817_s16_430nm_day7.png,mask,X
140111102817_s16_540nm_day7,2053 842; 2505 842; 2505 1843; 2053 1843,540,140111102817,s16,7,5,,5,,5,.\result\140111102817_day7\140111102817_day7\s16\140111102817_s16_540nm_day7.png,mask,X
140111102817_s17_430nm_day7,1989 881; 2567 881; 2567 1669; 1989 1669,430,140111102817,s17,7,8,,6,,6,.\result\140111102817_day7\140111102817_day7\s17\140111102817_s17_430nm_day7.png,mask,X
140111102817_s17_540nm_day7,2005 846; 2612 846; 2612 1624; 2005 1624,540,140111102817,s17,7,8,,6,,6,.\result\140111102817_day7\140111102817_day7\s17\140111102817_s17_540nm_day7.png,mask,X
140111102817_s18_430nm_day7,2069 781; 2625 781; 2625 1914; 2069 1914,430,140111102817,s18,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s18\140111102817_s18_430nm_day7.png,mask,X
140111102817_s18_540nm_day7,2031 726; 2593 726; 2593 1850; 2031 1850,540,140111102817,s18,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s18\140111102817_s18_540nm_day7.png,mask,X
140111102817_s19_430nm_day7,2208 897; 2828 897; 2828 1750; 2208 1750,430,140111102817,s19,7,9,,5,,7,.\result\140111102817_day7\140111102817_day7\s19\140111102817_s19_430nm_day7.png,mask,X
140111102817_s19_540nm_day7,1979 865; 2634 865; 2634 1730; 1979 1730,540,140111102817,s19,7,9,,5,,7,.\result\140111102817_day7\140111102817_day7\s19\140111102817_s19_540nm_day7.png,mask,X
140111102817_s20_430nm_day7,2069 842; 2479 842; 2479 1905; 2069 1905,430,140111102817,s20,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s20\140111102817_s20_430nm_day7.png,mask,X
140111102817_s20_540nm_day7,1947 742; 2389 742; 2389 1869; 1947 1869,540,140111102817,s20,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s20\140111102817_s20_540nm_day7.png,mask,X
140111102817_s21_430nm_day7,2150 752; 2641 752; 2641 1685; 2150 1685,430,140111102817,s21,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s21\140111102817_s21_430nm_day7.png,mask,X
140111102817_s21_540nm_day7,2073 687; 2557 687; 2557 1643; 2073 1643,540,140111102817,s21,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s21\140111102817_s21_540nm_day7.png,mask,X
140111102817_s22_430nm_day7,2047 765; 2570 765; 2570 1859; 2047 1859,430,140111102817,s22,7,8,,5,,7,.\result\140111102817_day7\140111102817_day7\s22\140111102817_s22_430nm_day7.png,mask,X
140111102817_s22_540nm_day7,2231 716; 2706 716; 2706 1814; 2231 1814,540,140111102817,s22,7,8,,5,,7,.\result\140111102817_day7\140111102817_day7\s22\140111102817_s22_540nm_day7.png,mask,X
140111102817_s23_430nm_day7,2153 946; 2551 946; 2551 1905; 2153 1905,430,140111102817,s23,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s23\140111102817_s23_430nm_day7.png,mask,X
140111102817_s24_430nm_day7,2031 729; 2518 729; 2518 1524; 2031 1524,430,140111102817,s24,7,7,,6,,7,.\result\140111102817_day7\140111102817_day7\s24\140111102817_s24_430nm_day7.png,mask,X
140111102817_s24_540nm_day7,2050 674; 2547 674; 2547 1514; 2050 1514,540,140111102817,s24,7,7,,6,,7,.\result\140111102817_day7\140111102817_day7\s36\140111102817_s24_540nm_day7.png,mask,X
140111102817_s25_430nm_day7,2082 904; 2589 904; 2589 1656; 2082 1656,430,140111102817,s25,7,7,,6,,7,.\result\140111102817_day7\140111102817_day7\s25\140111102817_s25_430nm_day7.png,mask,X
140111102817_s25_540nm_day7,2118 800; 2596 800; 2596 1646; 2118 1646,540,140111102817,s25,7,7,,6,,7,.\result\140111102817_day7\140111102817_day7\s25\140111102817_s25_540nm_day7.png,mask,X
140111102817_s26_430nm_day7,2079 994; 2583 994; 2583 1801; 2079 1801,430,140111102817,s26,7,6,,6,,6,.\result\140111102817_day7\140111102817_day7\s26\140111102817_s26_430nm_day7.png,mask,X
140111102817_s26_540nm_day7,2189 1068; 2673 1068; 2673 1837; 2189 1837,540,140111102817,s26,7,6,,6,,6,.\result\140111102817_day7\140111102817_day7\s26\140111102817_s26_540nm_day7.png,mask,X
140111102817_s27_430nm_day7,2182 910; 2748 910; 2748 1734; 2182 1734,430,140111102817,s27,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s27\140111102817_s27_430nm_day7.png,mask,X
140111102817_s27_540nm_day7,2082 852; 2634 852; 2634 1717; 2082 1717,540,140111102817,s27,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s27\140111102817_s27_540nm_day7.png,mask,X
140111102817_s28_430nm_day7,2073 871; 2547 871; 2547 1782; 2073 1782,430,140111102817,s28,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s28\140111102817_s28_430nm_day7.png,mask,X
140111102817_s28_540nm_day7,2134 762; 2583 762; 2583 1756; 2134 1756,540,140111102817,s28,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s28\140111102817_s28_540nm_day7.png,mask,X
140111102817_s29_430nm_day7,2076 762; 2489 762; 2489 1698; 2076 1698,430,140111102817,s29,7,7,,5,,5,.\result\140111102817_day7\140111102817_day7\s29\140111102817_s29_430nm_day7.png,mask,X
140111102817_s29_540nm_day7,2192 758; 2605 758; 2605 1788; 2192 1788,540,140111102817,s29,7,7,,5,,5,.\result\140111102817_day7\140111102817_day7\s29\140111102817_s29_540nm_day7.png,mask,X
140111102817_s30_430nm_day7,2144 778; 2589 778; 2589 1905; 2144 1905,430,140111102817,s30,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s30\140111102817_s30_430nm_day7.png,mask,X
140111102817_s30_540nm_day7,2308 813; 2793 813; 2793 1940; 2308 1940,540,140111102817,s30,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s30\140111102817_s30_540nm_day7.png,mask,X
140111102817_s31_430nm_day7,2153 862; 2602 862; 2602 1617; 2153 1617,430,140111102817,s31,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s31\140111102817_s31_430nm_day7.png,mask,X
140111102817_s31_540nm_day7,2237 862; 2735 862; 2735 1530; 2237 1530,540,140111102817,s31,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s31\140111102817_s31_540nm_day7.png,mask,X
140111102817_s32_430nm_day7,2053 733; 2551 733; 2551 1656; 2053 1656,430,140111102817,s32,7,6,,5,,5,.\result\140111102817_day7\140111102817_day7\s32\140111102817_s32_430nm_day7.png,mask,X
140111102817_s32_540nm_day7,1918 765; 2473 765; 2473 1695; 1918 1695,540,140111102817,s32,7,6,,5,,5,.\result\140111102817_day7\140111102817_day7\s32\140111102817_s32_540nm_day7.png,mask,X
140111102817_s33_430nm_day7,2108 871; 2693 871; 2693 1750; 2108 1750,430,140111102817,s33,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s33\140111102817_s33_430nm_day7.png,mask,X
140111102817_s33_540nm_day7,1998 900; 2570 900; 2570 1779; 1998 1779,540,140111102817,s33,7,7,,5,,6,.\result\140111102817_day7\140111102817_day7\s33\140111102817_s33_540nm_day7.png,mask,X
140111102817_s34_430nm_day7,2002 920; 2447 920; 2447 1834; 2002 1834,430,140111102817,s34,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s35\140111102817_s34_430nm_day7.png,mask,X
140111102817_s34_540nm_day7,1940 852; 2370 852; 2370 1792; 1940 1792,540,140111102817,s34,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s34\140111102817_s34_540nm_day7.png,mask,X
140111102817_s35_540nm_day7,2150 884; 2696 884; 2696 1818; 2150 1818,540,140111102817,s35,7,8,,4,,5,.\result\140111102817_day7\140111102817_day7\s35\140111102817_s35_540nm_day7.png,mask,X
140111102817_s36_430nm_day7,2092 739; 2683 739; 2683 1672; 2092 1672,430,140111102817,s36,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s36\140111102817_s36_430nm_day7.png,mask,X
140111102817_s37_430nm_day7,1973 784; 2467 784; 2467 1763; 1973 1763,430,140111102817,s37,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s37\140111102817_s37_430nm_day7.png,mask,X
140111102817_s37_540nm_day7,1979 749; 2479 749; 2479 1785; 1979 1785,540,140111102817,s37,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s37\140111102817_s37_540nm_day7.png,mask,X
140111102817_s38_430nm_day7,2069 681; 2499 681; 2499 1872; 2069 1872,430,140111102817,s38,7,6,,7,,6,.\result\140111102817_day7\140111102817_day7\s38\140111102817_s38_430nm_day7.png,mask,X
140111102817_s38_540nm_day7,2005 652; 2428 652; 2428 1908; 2005 1908,540,140111102817,s38,7,6,,7,,6,.\result\140111102817_day7\140111102817_day7\s38\140111102817_s38_540nm_day7.png,mask,X
140111102817_s39_430nm_day7,2069 907; 2673 907; 2673 1730; 2069 1730,430,140111102817,s39,7,8,,6,,6,.\result\140111102817_day7\140111102817_day7\s39\140111102817_s39_430nm_day7.png,mask,X
140111102817_s39_540nm_day7,2182 829; 2783 829; 2783 1653; 2182 1653,540,140111102817,s39,7,8,,6,,6,.\result\140111102817_day7\140111102817_day7\s39\140111102817_s39_540nm_day7.png,mask,X
140111102817_s40_430nm_day7,1908 826; 2521 826; 2521 1653; 1908 1653,430,140111102817,s40,7,8,,5,,6,.\result\140111102817_day7\140111102817_day7\s40\140111102817_s40_430nm_day7.png,mask,X
140111102817_s40_540nm_day7,1966 762; 2638 762; 2638 1608; 1966 1608,540,140111102817,s40,7,8,,5,,6,.\result\140111102817_day7\140111102817_day7\s40\140111102817_s40_540nm_day7.png,mask,X
140111102817_s41_430nm_day7,2350 1010; 2767 1010; 2767 1889; 2350 1889,430,140111102817,s41,7,7,,7,,7,.\result\140111102817_day7\140111102817_day7\s41\140111102817_s41_430nm_day7.png,mask,X
140111102817_s41_540nm_day7,2483 923; 2912 923; 2912 1808; 2483 1808,540,140111102817,s41,7,7,,7,,7,.\result\140111102817_day7\140111102817_day7\s41\140111102817_s41_540nm_day7.png,mask,X
140111102817_s42_430nm_day7,2005 1036; 2567 1036; 2567 1801; 2005 1801,430,140111102817,s42,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s42\140111102817_s42_430nm_day7.png,mask,X
140111102817_s42_540nm_day7,2202 942; 2780 942; 2780 1714; 2202 1714,540,140111102817,s42,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s42\140111102817_s42_540nm_day7.png,mask,X
140111102817_s43_430nm_day7,2283 713; 2576 713; 2576 1801; 2283 1801,430,140111102817,s43,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s43\140111102817_s43_430nm_day7.png,mask,X
140111102817_s43_540nm_day7,2289 707; 2586 707; 2586 1788; 2289 1788,540,140111102817,s43,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s43\140111102817_s43_540nm_day7.png,mask,X
140111102817_s44_430nm_day7,2283 714; 2631 842; 2631 1679; 2140 1679,430,140111102817,s44,7,6,,5,,6,.\result\140111102817_day7\140111102817_day7\s44\140111102817_s44_430nm_day7.png,mask,X
140111102817_s44_540nm_day7,2098 807; 2622 807; 2622 1698; 2098 1698,540,140111102817,s44,7,6,,5,,6,.\result\140111102817_day7\140111102817_day7\s44\140111102817_s44_540nm_day7.png,mask,X
140111102817_s45_430nm_day7,2082 900; 2583 900; 2583 1827; 2082 1827,430,140111102817,s45,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s45\140111102817_s45_430nm_day7.png,mask,X
140111102817_s45_540nm_day7,2089 820; 2618 820; 2618 1698; 2089 1698,540,140111102817,s45,7,7,,6,,6,.\result\140111102817_day7\140111102817_day7\s45\140111102817_s45_540nm_day7.png,mask,X
140111102817_s46_430nm_day7,2082 804; 2541 804; 2541 1553; 2082 1553,430,140111102817,s46,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s46\140111102817_s46_430nm_day7.png,mask,X
140111102817_s46_540nm_day7,2037 762; 2525 762; 2525 1533; 2037 1533,540,140111102817,s46,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s46\140111102817_s46_540nm_day7.png,mask,X
140111102817_s47_430nm_day7,2069 752; 2560 752; 2560 1892; 2069 1892,430,140111102817,s47,7,5,,5,,5,.\result\140111102817_day7\140111102817_day7\s47\140111102817_s47_430nm_day7.png,mask,X
140111102817_s47_540nm_day7,2037 726; 2544 726; 2544 1924; 2037 1924,540,140111102817,s47,7,5,,5,,5,.\result\140111102817_day7\140111102817_day7\s47\140111102817_s47_540nm_day7.png,mask,X
140111102817_s48_430nm_day7,1952 821; 2521 821; 2521 1553; 1952 1553,430,140111102817,s48,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s48\140111102817_s48_430nm_day7.png,mask,X
140111102817_s48_540nm_day7,2053 800; 2634 800; 2634 1553; 2053 1553,540,140111102817,s48,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s48\140111102817_s48_540nm_day7.png,mask,X
140111102817_s49_430nm_day7,1824 842; 2441 842; 2441 1840; 1824 1840,430,140111102817,s49,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s49\140111102817_s49_430nm_day7.png,mask,X
140111102817_s49_540nm_day7,1872 846; 2476 846; 2476 1882; 1872 1882,540,140111102817,s49,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s49\140111102817_s49_540nm_day7.png,mask,X
140111102817_s50_430nm_day7,2179 839; 2615 839; 2615 1850; 2179 1850,430,140111102817,s50,7,9,,6,,6,.\result\140111102817_day7\140111102817_day7\s50\140111102817_s50_430nm_day7.png,mask,X
140111102817_s50_540nm_day7,1866 842; 2476 842; 2476 1863; 1866 1863,540,140111102817,s50,7,9,,6,,6,.\result\140111102817_day7\140111102817_day7\s50\140111102817_s50_540nm_day7.png,mask,X
140111102817_s51_430nm_day7,2105 900; 2441 900; 2441 1882; 2105 1882,430,140111102817,s51,7,7,,5,,4,.\result\140111102817_day7\140111102817_day7\s51\140111102817_s51_430nm_day7.png,mask,X
140111102817_s51_540nm_day7,2154 932; 2523 932; 2523 1969; 2154 1969,540,140111102817,s51,7,7,,5,,4,.\result\140111102817_day7\140111102817_day7\s51\140111102817_s51_540nm_day7.png,mask,X
140111102817_s52_430nm_day7,2182 674; 2525 674; 2525 1595; 2182 1595,430,140111102817,s52,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s52\140111102817_s52_430nm_day7.png,mask,X
140111102817_s52_540nm_day7,2221 639; 2570 639; 2570 1579; 2221 1579,540,140111102817,s52,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s52\140111102817_s52_540nm_day7.png,mask,X
140111102817_s53_430nm_day7,2089 1062; 2583 1062; 2583 1863; 2089 1863,430,140111102817,s53,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s53\140111102817_s53_430nm_day7.png,mask,X
140111102817_s53_540nm_day7,2095 1030; 2593 1030; 2593 1882; 2095 1882,540,140111102817,s53,7,8,,5,,5,.\result\140111102817_day7\140111102817_day7\s53\140111102817_s53_540nm_day7.png,mask,X
140111102817_s54_430nm_day7,2211 852; 2706 852; 2706 1740; 2211 1740,430,140111102817,s54,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s54\140111102817_s54_430nm_day7.png,mask,X
140111102817_s54_540nm_day7,2063 923; 2576 923; 2576 1776; 2063 1776,540,140111102817,s54,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s54\140111102817_s54_540nm_day7.png,mask,X
140111102817_s55_430nm_day7,2098 855; 2673 855; 2673 1646; 2098 1646,430,140111102817,s55,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s55\140111102817_s55_430nm_day7.png,mask,X
140111102817_s55_540nm_day7,2031 871; 2573 871; 2573 1701; 2031 1701,540,140111102817,s55,7,7,,6,,5,.\result\140111102817_day7\140111102817_day7\s55\140111102817_s55_540nm_day7.png,mask,X
140111102817_s56_430nm_day7,2073 897; 2483 897; 2483 1646; 2073 1646,430,140111102817,s56,7,7,,4,,4,.\result\140111102817_day7\140111102817_day7\s56\140111102817_s56_430nm_day7.png,mask,X
140111102817_s56_540nm_day7,1924 920; 2341 920; 2341 1685; 1924 1685,540,140111102817,s56,7,7,,4,,4,.\result\140111102817_day7\140111102817_day7\s56\140111102817_s56_540nm_day7.png,mask,X
140111102842_s1_430nm_day7,2250 755; 2725 755; 2725 1695; 2250 1695,430,140111102842,s1,7,7,,7,,6,.\result\140111102842_day7\140111102842_day7\s1\140111102842_s1_430nm_day7.png,mask,-
140111102842_s1_540nm_day7,2173 716; 2660 716; 2660 1664; 2173 1664,540,140111102842,s1,7,7,,7,,6,.\result\140111102842_day7\140111102842_day7\s1\140111102842_s1_540nm_day7.png,mask,-
140111102842_s1_580nm_day7,2202 729; 2673 729; 2673 1688; 2202 1688,580,140111102842,s1,7,7,,7,,6,.\result\140111102842_day7\140111102842_day7\s1\140111102842_s1_580nm_day7.png,mask,-
140111102842_s2_430nm_day7,2199 955; 2806 955; 2806 1898; 2199 1898,430,140111102842,s2,7,6,,6,,6,.\result\140111102842_day7\140111102842_day7\s2\140111102842_s2_430nm_day7.png,mask,-
140111102842_s2_540nm_day7,2050 965; 2654 965; 2654 1853; 2050 1853,540,140111102842,s2,7,6,,6,,6,.\result\140111102842_day7\140111102842_day7\s2\140111102842_s2_540nm_day7.png,mask,-
140111102842_s2_580nm_day7,2089 952; 2686 952; 2686 1863; 2089 1863,580,140111102842,s2,7,6,,6,,6,.\result\140111102842_day7\140111102842_day7\s2\140111102842_s2_580nm_day7.png,mask,-
140111102842_s3_430nm_day7,2050 910; 2667 910; 2667 1704; 2050 1704,430,140111102842,s3,7,6,,5,,5,.\result\140111102842_day7\140111102842_day7\s3\140111102842_s3_430nm_day7.png,mask,-
140111102842_s3_540nm_day7,2008 910; 2654 910; 2654 1688; 2008 1688,540,140111102842,s3,7,6,,5,,5,.\result\140111102842_day7\140111102842_day7\s3\140111102842_s3_540nm_day7.png,mask,-
140111102842_s3_580nm_day7,2073 913; 2709 913; 2709 1704; 2073 1704,580,140111102842,s3,7,6,,5,,5,.\result\140111102842_day7\140111102842_day7\s3\140111102842_s3_580nm_day7.png,mask,-
140111102842_s4_430nm_day7,1966 855; 2554 855; 2554 1556; 1966 1556,430,140111102842,s4,7,7,,6,,6,.\result\140111102842_day7\140111102842_day7\s4\140111102842_s4_430nm_day7.png,mask,-
140111102842_s4_540nm_day7,1950 904; 2551 904; 2551 1611; 1950 1611,540,140111102842,s4,7,7,,6,,6,.\result\140111102842_day7\140111102842_day7\s4\140111102842_s4_540nm_day7.png,mask,-
140111102842_s4_580nm_day7,2008 878; 2622 878; 2622 1562; 2008 1562,580,140111102842,s4,7,7,,6,,6,.\result\140111102842_day7\140111102842_day7\s4\140111102842_s4_580nm_day7.png,mask,-
140111102842_s5_430nm_day7,2186 920; 2841 920; 2841 1666; 2186 1666,430,140111102842,s5,7,6,,6,,5,.\result\140111102842_day7\140111102842_day7\s5\140111102842_s5_430nm_day7.png,mask,-
140111102842_s5_540nm_day7,2221 939; 2896 939; 2896 1688; 2221 1688,540,140111102842,s5,7,6,,6,,5,.\result\140111102842_day7\140111102842_day7\s5\140111102842_s5_540nm_day7.png,mask,-
140111102842_s5_580nm_day7,2218 920; 2903 920; 2903 1650; 2218 1650,580,140111102842,s5,7,6,,6,,5,.\result\140111102842_day7\140111102842_day7\s5\140111102842_s5_580nm_day7.png,mask,-
140111102842_s6_430nm_day7,2037 965; 2644 965; 2644 1743; 2037 1743,430,140111102842,s6,7,7,,6,,6,.\result\140111102842_day7\140111102842_day7\s6\140111102842_s6_430nm_day7.png,mask,-
140111102842_s6_540nm_day7,2131 936; 2738 936; 2738 1759; 2131 1759,540,140111102842,s6,7,7,,6,,6,.\result\140111102842_day7\140111102842_day7\s6\140111102842_s6_540nm_day7.png,mask,-
140111102842_s6_580nm_day7,2199 929; 2838 929; 2838 1714; 2199 1714,580,140111102842,s6,7,7,,6,,6,.\result\140111102842_day7\140111102842_day7\s6\140111102842_s6_580nm_day7.png,mask,-
